UMAP1,UMAP2
0.39430124,2.3093526
1.3985158,2.0062423
1.8378031,2.429681
0.50551844,2.4230587
1.3459268,2.7026713
1.256474,1.5106341
1.147384,1.6273323
0.35053092,2.2269268
1.2269135,1.7427672
1.2082137,1.6995778
0.85684997,3.1175077
1.1952695,1.6608312
1.3634597,1.8874949
0.81388086,2.863798
0.43759966,2.2873778
0.7146401,2.6353445
1.2561492,2.4901712
1.3550855,2.2880526
0.63998836,2.788583
1.2965434,1.742512
0.46776792,2.0614884
1.1677165,1.6077056
1.3872669,2.5474398
1.0927519,3.3252656
1.4522414,2.6105502
9.295254,4.4716063
7.8836064,4.315628
8.492358,4.848152
9.274427,4.4984717
8.40476,4.7445445
9.781098,4.9105754
9.913102,3.831111
9.094572,4.144115
9.522672,4.0015926
9.29892,4.103471
7.9169016,4.350479
5.287319,3.9377768
5.755396,3.8033671
8.03485,5.9945655
7.723544,5.7144027
8.145098,4.969092
8.004261,4.966663
8.362775,6.126011
9.339012,4.9287987
9.174096,5.1115794
9.368102,3.6529245
8.95676,6.334634
9.181922,5.2973337
7.9801984,5.300816
9.5858555,3.9042554
8.188846,4.103101
8.976333,5.4631577
9.768863,3.6631346
5.656562,3.6692863
7.4662614,4.362281
8.601415,5.0192785
9.774356,4.866387
9.165908,4.6315475
8.332908,4.497225
8.991991,5.7161355
